Query,Execution Time
query_84.sql,0.17848706245422363
query_47.sql,0.2026069164276123
query_36.sql,0.2839224338531494
query_8.sql,0.0901496410369873
query_32.sql,0.056800127029418945
query_11.sql,0.05363869667053223
query_35.sql,2.2927980422973633
query_9.sql,0.07531023025512695
query_29.sql,0.08059048652648926
query_41.sql,0.08763790130615234
query_70.sql,0.25780487060546875
query_7.sql,0.06720328330993652
query_20.sql,0.5170261859893799
query_95.sql,0.1350877285003662
query_58.sql,0.1129605770111084
query_39.sql,0.09748458862304688
query_64.sql,0.03588700294494629
query_18.sql,0.06353425979614258
query_99.sql,0.08249306678771973
query_24.sql,0.05424356460571289
query_80.sql,0.03200078010559082
query_16.sql,0.1379990577697754
query_25.sql,0.0487818717956543
query_53.sql,0.09072494506835938
query_54.sql,0.15184950828552246
query_21.sql,0.3450193405151367
query_88.sql,0.05941176414489746
query_55.sql,1.0410635471343994
query_33.sql,0.15607261657714844
query_48.sql,0.07756495475769043
query_13.sql,0.034680843353271484
query_96.sql,0.025200605392456055
query_63.sql,0.06876373291015625
query_61.sql,0.03398585319519043
query_67.sql,0.0458524227142334
query_92.sql,0.09675717353820801
query_71.sql,0.2655026912689209
query_98.sql,0.1321871280670166
query_30.sql,0.27599477767944336
query_40.sql,0.023610591888427734
query_37.sql,0.06807303428649902
query_87.sql,0.2011401653289795
query_6.sql,0.14115095138549805
query_50.sql,0.1052865982055664
query_76.sql,0.5701925754547119
query_51.sql,0.8986945152282715
query_26.sql,0.08217978477478027
query_5.sql,0.221299409866333
query_75.sql,0.07976913452148438
query_15.sql,0.1020956039428711
query_73.sql,0.06808590888977051
query_42.sql,0.3719491958618164
query_66.sql,0.31644463539123535
query_91.sql,0.17089295387268066
query_72.sql,0.06915163993835449
query_93.sql,1.6804797649383545
query_28.sql,0.08109307289123535
query_12.sql,0.12203478813171387
query_78.sql,0.059868574142456055
query_85.sql,0.0862419605255127
query_23.sql,0.24014592170715332
query_17.sql,0.03528738021850586
query_83.sql,0.06564497947692871
query_43.sql,0.8671615123748779
query_82.sql,0.03503584861755371
query_3.sql,0.33745479583740234
query_38.sql,0.27893877029418945
query_86.sql,0.05512738227844238
query_77.sql,0.20528244972229004
query_4.sql,0.13841533660888672
query_19.sql,0.05348610877990723
query_2.sql,0.1370229721069336
query_81.sql,0.08597660064697266
query_94.sql,0.06564021110534668
query_14.sql,0.026049375534057617
query_1.sql,0.03742170333862305
query_69.sql,1.9088304042816162
query_10.sql,0.6602201461791992
query_56.sql,0.07916879653930664
query_44.sql,0.01583123207092285
query_45.sql,0.04083514213562012
query_27.sql,0.06026721000671387
query_34.sql,0.13709712028503418
query_22.sql,0.053281545639038086
query_68.sql,1.8121581077575684
query_62.sql,0.0350041389465332
query_31.sql,0.014546871185302734
query_59.sql,0.032436370849609375
query_97.sql,0.02686929702758789
query_79.sql,0.06957554817199707
query_52.sql,0.3650527000427246
query_49.sql,0.32651543617248535
query_89.sql,0.14208436012268066
query_46.sql,0.8665306568145752
query_90.sql,0.13528156280517578
query_60.sql,0.1548933982849121
query_74.sql,0.1340348720550537
query_65.sql,0.03240847587585449
query_57.sql,0.04030418395996094
