scale,test,run,function,result
2,1,1,DF_CS,0.4732706546783447
2,1,1,DF_I,2.9833900928497314
2,1,1,DF_SS,4.097531795501709
2,1,1,DF_WS,1.2937955856323242
2,1,1,LF_CR,0.09863471984863281
2,1,1,LF_CS,0.1930067539215088
2,1,1,LF_SR,0.06651949882507324
2,1,1,LF_SS,0.16516637802124023
2,1,1,LF_WR,0.06667399406433105
2,1,2,DF_CS,0.6348404884338379
2,1,2,DF_I,1.3110196590423584
2,1,2,DF_SS,2.63254714012146
2,1,2,DF_WS,0.7974133491516113
2,1,2,LF_CR,0.09998917579650879
2,1,2,LF_CS,0.1220083236694336
2,1,2,LF_SR,0.06065201759338379
2,1,2,LF_SS,0.07866978645324707
2,1,2,LF_WR,0.08606147766113281
