scale,test,run,function,result
1,2,1,DF_CS,0.1818070411682129
1,2,1,DF_I,0.9053761959075928
1,2,1,DF_SS,1.409928560256958
1,2,1,DF_WS,0.44995808601379395
1,2,1,LF_CR,0.07256770133972168
1,2,1,LF_CS,0.0706026554107666
1,2,1,LF_I,4.142958164215088
1,2,1,LF_SR,0.08671379089355469
1,2,1,LF_SS,0.12352538108825684
1,2,1,LF_WR,0.06559324264526367
1,2,1,LF_WS,0.08627080917358398
1,2,2,DF_CS,0.17028021812438965
1,2,2,DF_I,0.9459354877471924
1,2,2,DF_SS,1.3848438262939453
1,2,2,DF_WS,0.4620938301086426
1,2,2,LF_CR,0.06554627418518066
1,2,2,LF_CS,0.0719759464263916
1,2,2,LF_I,4.28363561630249
1,2,2,LF_SR,0.07636380195617676
1,2,2,LF_SS,0.12655377388000488
1,2,2,LF_WR,0.0887148380279541
1,2,2,LF_WS,0.0861063003540039
