scale,test,run,function,result
2,2,1,DF_CS,0.42194294929504395
2,2,1,DF_I,3.1092307567596436
2,2,1,DF_SS,4.085395574569702
2,2,1,DF_WS,1.7831087112426758
2,2,1,LF_CR,0.08095264434814453
2,2,1,LF_CS,0.11884140968322754
2,2,1,LF_SR,0.05280876159667969
2,2,1,LF_SS,0.10399293899536133
2,2,1,LF_WR,0.06543374061584473
2,2,2,DF_CS,0.8797357082366943
2,2,2,DF_I,1.331068992614746
2,2,2,DF_SS,2.6981899738311768
2,2,2,DF_WS,0.8225607872009277
2,2,2,LF_CR,0.08545541763305664
2,2,2,LF_CS,0.13544034957885742
2,2,2,LF_SR,0.05465221405029297
2,2,2,LF_SS,0.08513355255126953
2,2,2,LF_WR,0.06197190284729004
