scale,test,run,function,result
1.5,2,1,DF_CS,0.22683191299438477
1.5,2,1,DF_I,0.9430620670318604
1.5,2,1,DF_SS,1.5163373947143555
1.5,2,1,DF_WS,0.4277458190917969
1.5,2,1,LF_CR,0.07552957534790039
1.5,2,1,LF_CS,0.0741732120513916
1.5,2,1,LF_I,4.103927135467529
1.5,2,1,LF_SR,0.06985354423522949
1.5,2,1,LF_SS,0.1148843765258789
1.5,2,1,LF_WR,0.0649271011352539
1.5,2,1,LF_WS,0.11072230339050293
1.5,2,2,DF_CS,0.17323637008666992
1.5,2,2,DF_I,0.9564895629882812
1.5,2,2,DF_SS,1.3902788162231445
1.5,2,2,DF_WS,0.4502897262573242
1.5,2,2,LF_CR,0.06757402420043945
1.5,2,2,LF_CS,0.06901121139526367
1.5,2,2,LF_I,3.1705925464630127
1.5,2,2,LF_SR,0.07866525650024414
1.5,2,2,LF_SS,0.12091612815856934
1.5,2,2,LF_WR,0.055383920669555664
1.5,2,2,LF_WS,0.0949544906616211
