Query,Execution Time
query_84.sql,0.08110404014587402
query_47.sql,0.09625363349914551
query_36.sql,0.10737824440002441
query_8.sql,0.05582761764526367
query_32.sql,0.02855515480041504
query_11.sql,0.025409460067749023
query_35.sql,0.7905635833740234
query_9.sql,0.04098224639892578
query_29.sql,0.03909492492675781
query_41.sql,0.05338549613952637
query_70.sql,0.12430644035339355
query_7.sql,0.01896953582763672
query_20.sql,0.31284093856811523
query_95.sql,0.05431556701660156
query_58.sql,0.04715609550476074
query_39.sql,0.0458221435546875
query_64.sql,0.02198195457458496
query_18.sql,0.03161215782165527
query_99.sql,0.04129362106323242
query_24.sql,0.027115583419799805
query_80.sql,0.019789457321166992
query_16.sql,0.07195591926574707
query_25.sql,0.039557695388793945
query_53.sql,0.04053664207458496
query_54.sql,0.0706174373626709
query_21.sql,0.12210536003112793
query_88.sql,0.03243374824523926
query_55.sql,0.47258543968200684
query_33.sql,0.04048609733581543
query_48.sql,0.04000735282897949
query_13.sql,0.02931523323059082
query_96.sql,0.01962876319885254
query_63.sql,0.03545713424682617
query_61.sql,0.01623678207397461
query_67.sql,0.019160747528076172
query_92.sql,0.05155515670776367
query_71.sql,0.07414627075195312
query_98.sql,0.04042243957519531
query_30.sql,0.10384416580200195
query_40.sql,0.009871482849121094
query_37.sql,0.04187321662902832
query_87.sql,0.13057684898376465
query_6.sql,0.0657505989074707
query_50.sql,0.05246567726135254
query_76.sql,0.28472471237182617
query_51.sql,0.4060022830963135
query_26.sql,0.04387331008911133
query_5.sql,0.10187339782714844
query_75.sql,0.041910409927368164
query_15.sql,0.03993535041809082
query_73.sql,0.03395724296569824
query_42.sql,0.15273118019104004
query_66.sql,0.10345292091369629
query_91.sql,0.06420040130615234
query_72.sql,0.027252197265625
query_93.sql,0.5116572380065918
query_28.sql,0.04960441589355469
query_12.sql,0.06638741493225098
query_78.sql,0.025354623794555664
query_85.sql,0.03721141815185547
query_23.sql,0.07393717765808105
query_17.sql,0.020560026168823242
query_83.sql,0.03329157829284668
query_43.sql,0.2243177890777588
query_82.sql,0.019931554794311523
query_3.sql,0.09047698974609375
query_38.sql,0.08475971221923828
query_86.sql,0.02284979820251465
query_77.sql,0.06963324546813965
query_4.sql,0.020394325256347656
query_19.sql,0.02449798583984375
query_2.sql,0.0638582706451416
query_81.sql,0.032618045806884766
query_94.sql,0.04957246780395508
query_14.sql,0.01458597183227539
query_1.sql,0.01420283317565918
query_69.sql,0.6269347667694092
query_10.sql,0.20934057235717773
query_56.sql,0.03683805465698242
query_44.sql,0.006218671798706055
query_45.sql,0.017377376556396484
query_27.sql,0.02646350860595703
query_34.sql,0.06063413619995117
query_22.sql,0.02371048927307129
query_68.sql,0.5870094299316406
query_62.sql,0.016608715057373047
query_31.sql,0.014922618865966797
query_59.sql,0.01891946792602539
query_97.sql,0.03181624412536621
query_79.sql,0.040647268295288086
query_52.sql,0.08445954322814941
query_49.sql,0.15662860870361328
query_89.sql,0.04916048049926758
query_46.sql,0.3518388271331787
query_90.sql,0.13520169258117676
query_60.sql,0.05867457389831543
query_74.sql,0.06845474243164062
query_65.sql,0.020606040954589844
query_57.sql,0.03366875648498535
