scale,test,run,function,result
1,1,1,DF_CS,0.36530637741088867
1,1,1,DF_I,1.981126070022583
1,1,1,DF_SS,2.3733513355255127
1,1,1,DF_WS,0.8308274745941162
1,1,1,LF_CR,0.07533025741577148
1,1,1,LF_CS,0.12379813194274902
1,1,1,LF_I,4.7679736614227295
1,1,1,LF_SR,0.09292840957641602
1,1,1,LF_SS,0.1756572723388672
1,1,1,LF_WR,0.05725359916687012
1,1,1,LF_WS,0.11081123352050781
1,1,2,DF_CS,0.18650412559509277
1,1,2,DF_I,0.9154982566833496
1,1,2,DF_SS,1.372058629989624
1,1,2,DF_WS,0.5455226898193359
1,1,2,LF_CR,0.09442520141601562
1,1,2,LF_CS,0.08057498931884766
1,1,2,LF_I,5.52372670173645
1,1,2,LF_SR,0.08402585983276367
1,1,2,LF_SS,0.12228679656982422
1,1,2,LF_WR,0.09268379211425781
1,1,2,LF_WS,0.09626293182373047
