scale,test,run,function,result
3,1,1,DF_CS,0.5208144187927246
3,1,1,DF_I,4.285810470581055
3,1,1,DF_SS,5.9806013107299805
3,1,1,DF_WS,1.9398930072784424
3,1,1,LF_CR,0.10721421241760254
3,1,1,LF_CS,0.22323894500732422
3,1,1,LF_I,11.694263458251953
3,1,1,LF_SR,0.1415085792541504
3,1,1,LF_SS,0.3909773826599121
3,1,1,LF_WR,0.0910041332244873
3,1,1,LF_WS,0.1916942596435547
3,1,2,DF_CS,2.014127016067505
3,1,2,DF_I,3.093632221221924
3,1,2,DF_SS,4.353494882583618
3,1,2,DF_WS,1.2423813343048096
3,1,2,LF_CR,0.09333372116088867
3,1,2,LF_CS,0.21044683456420898
3,1,2,LF_I,10.694570779800415
3,1,2,LF_SR,0.15158510208129883
3,1,2,LF_SS,0.2379910945892334
3,1,2,LF_WR,0.08619904518127441
3,1,2,LF_WS,0.16181540489196777
